Р-354 Екатеринбург - Шадринск - Курган;00 ОП ФЗ Р-354
Р-402 Тюмень - Ялуторовск - Ишим - Омск;00 ОП ФЗ Р-402 (Е22, Е30, СНГ)
Р-404 Тюмень - Тобольск - Ханты-Мансийск;00 ОП ФЗ Р-404
"Р-504 ""Колыма"" Якутск - Магадан";00 ОП ФЗ Р-504
"А-103 ""Щелковское шоссе"" Москва - Щелково - автомобильная дорога А-107 ""Московское малое кольцо""";00 ОП ФЗ А-103
А-104 Москва - Дмитров - Дубна;00 ОП ФЗ А-104
А-105 подъездная дорога от Москвы к аэропорту Домодедово;00 ОП ФЗ А-105
А-106 Рублево-Успенское шоссе;00 ОП ФЗ А-106
"А-107 ""Московское малое кольцо"" Икша - Ногинск - Бронницы - Голицыно - Истра - Икша";00 ОП ФЗ А-107
"А-108 ""Московское большое кольцо"" Дмитров - Сергиев Посад - Орехово-Зуево - Воскресенск - Михнево - Балабаново - Руза - Клин - Дмитров";00 ОП ФЗ А-108
А-109 Ильинское шоссе;00 ОП ФЗ А-109
"А-110 подъездная дорога от автомобильной дороги А-108 ""Московское большое кольцо"" к объекту ""Семеновское""";00 ОП ФЗ А-110
"А-111 подъездная дорога от автомобильной дороги М-10 ""Россия"" к государственному комплексу ""Завидово""";00 ОП ФЗ А-111
А-112 Чепелево - Вельяминово;00 ОП ФЗ А-112
А-113 Центральная кольцевая автомобильная дорога;00 ОП ФЗ А-113 (АН9)
"А-114 Вологда - Тихвин - автомобильная дорога Р-21 ""Кола""";00 ОП ФЗ А-114 (СНГ)
А-118 Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга;00 ОП ФЗ А-118
"А-119 Вологда - Медвежьегорск - автомобильная дорога Р-21 ""Кола""";00 ОП ФЗ А-119
"А-120 ""Санкт-Петербургское южное полукольцо"" Кировск - Мга - Гатчина - Большая Ижора";00 ОП ФЗ А-120
"А-121 ""Сортавала"" Санкт-Петербург - Сортавала - автомобильная дорога Р-21 ""Кола""";00 ОП ФЗ А-121
А-122 автомобильная дорога А-114 - Устюжна - Крестцы - Яжелбицы - Великие Луки - Невель;00 ОП ФЗ А-122
А-123 Чекшино - Тотьма - Котлас - Куратово;00 ОП ФЗ А-123
А-130 Москва - Малоярославец - Рославль - граница с Республикой Беларусь;00 ОП ФЗ А-130
"А-132 подъездная дорога от автомобильной дороги М-1 ""Беларусь"" к г. Смоленску";00 ОП ФЗ А-132
"А-133 подъездная дорога от автомобильной дороги М-4 ""Дон"" к г. Липецку";00 ОП ФЗ А-133
"А-134 подъездная дорога от автомобильной дороги М-4 ""Дон"" к г. Воронежу";00 ОП ФЗ А-134
"А-135 подъездная дорога от автомобильной дороги М-4 ""Дон"" к г. Ростову-на-Дону";00 ОП ФЗ А-135
"А-136 подъездная дорога от автомобильной дороги М-4 ""Дон"" к г. Краснодару";00 ОП ФЗ А-136
"А-137 автомобильная дорога Р-21 ""Кола"" - Тикша - Ледмозеро - Костомукша - граница с Финляндской Республикой";00 ОП ФЗ А-137
А-142 Тросна - Калиновка;00 ОП ФЗ А-142 (Е391, СНГ)
А-146 Краснодар - Верхнебаканский;00 ОП ФЗ А-146 (Е115, Е591)
А-147 Джубга - Сочи - граница с Республикой Абхазия;00 ОП ФЗ А-147 (Е97, СНГ)
"А-148 ""Дублер Курортного проспекта"" от 172-го километра федеральной автомобильной дороги А-147 Джубга - Сочи - граница с Республикой Абхазия до обхода г. Сочи";00 ОП ФЗ А-148
А-149 Адлер - Красная Поляна;00 ОП ФЗ А-149
А-151 Цивильск - Ульяновск;00 ОП ФЗ А-151 (АН9, СНГ)
А-154 Урвань - Верхняя Балкария - Уштулу;00 ОП ФЗ А-154
А-155 Черкесск - Домбай - граница с Республикой Абхазия;00 ОП ФЗ А-155
"А-156 подъездная дорога от автомобильной дороги А-155 Черкесск - Домбай - граница с Республикой Абхазия к международному центру отдыха ""Архыз"" и к специализированной астрофизической обсерватории Российской академии наук";00 ОП ФЗ А-156
А-157 Минеральные Воды (аэропорт) - Кисловодск;00 ОП ФЗ А-157
А-158 Прохладный - Баксан - Эльбрус;00 ОП ФЗ А-158
А-159 подъездная дорога от г. Майкопа к Кавказскому государственному биосферному заповеднику;00 ОП ФЗ А-159
А-160 Майкоп - Бжедугхабль - Адыгейск - Усть-Лабинск - Кореновск;00 ОП ФЗ А-160
А-161 Владикавказ - Нижний Ларс - граница с Грузией;00 ОП ФЗ А-161 (Е117, СНГ)
А-162 Владикавказ - Алагир;00 ОП ФЗ А-162 (СНГ)
"А-163 подъездная дорога от автомобильной дороги Р-217 ""Кавказ"" к аэропорту г. Владикавказа";00 ОП ФЗ А-163
"А-164 ""Транскам"" Карджин - Алагир - Нижний Зарамаг - граница с Республикой Южная Осетия";00 ОП ФЗ А-164 (СНГ)
А-165 Лермонтов - Черкесск;00 ОП ФЗ А-165
А-167 Кочубей - Нефтекумск - Зеленокумск - Минеральные Воды;00 ОП ФЗ А-167 (Е50, СНГ)
"А-180 ""Нарва"" Санкт-Петербург - граница с Эстонской Республикой";00 ОП ФЗ А-180 (Е20, СНГ)
"А-181 ""Скандинавия"" Санкт-Петербург - Выборг - граница с Финляндской Республикой";00 ОП ФЗ А-181 (Е18, АН8, СНГ)
А-212 Псков - Изборск - граница с Эстонской Республикой;00 ОП ФЗ А-212 (Е77)
А-215 Лодейное Поле - Вытегра - Прокшино - Плесецк - Брин-Наволок;00 ОП ФЗ А-215
А-216 Гвардейск - Неман - граница с Литовской Республикой;00 ОП ФЗ А-216 (Е77, СНГ)
"А-217 ""Приморское полукольцо"" Калининград - Светлогорск";00 ОП ФЗ А-217
А-229 Калининград - Черняховск - Нестеров - граница с Литовской Республикой;00 ОП ФЗ А-229 (Е28, Е77, СНГ)
А-240 Брянск - Новозыбков - граница с Республикой Беларусь;00 ОП ФЗ А-240 (РЕ9А, СНГ)
"А-258 автомобильная дорога М-4 ""Дон"" - Кантемировка - Луганск";00 ОП ФЗ А-258
"А-270 автомобильная дорога М-4 ""Дон"" - Новошахтинск - граница с Луганской Народной Республикой";00 ОП ФЗ А-270 (Е50, СНГ)
А-289 Краснодар - Славянск-на-Кубани - Темрюк - автомобильная дорога А-290 Новороссийск - Керчь;00 ОП ФЗ А-289
А-290 Новороссийск - Керчь;00 ОП ФЗ А-290 (Е97, Е115, Е591, СНГ)
"А-291 ""Таврида"" Керчь - Симферополь - Севастополь";00 ОП ФЗ А-291 (Е97, СНГ)
"А-295 Йошкар-Ола - Зеленодольск - автомобильная дорога М-7 ""Волга""";00 ОП ФЗ А-295
"А-298 автомобильная дорога Р-208 ""Тамбов - Пенза"" - Саратов - Пристанное - Ершов - Озинки - граница с Республикой Казахстан";00 ОП ФЗ А-298 (Е38, АН61, СНГ)
А-300 Самара - Большая Черниговка - граница с Республикой Казахстан;00 ОП ФЗ А-300 (Е121, АН63, СНГ)
А-305 Оренбург - Илек - граница с Республикой Казахстан;00 ОП ФЗ А-305
А-310 Челябинск - Троицк - граница с Республикой Казахстан;00 ОП ФЗ А-310 (Е123, АН7, СНГ)
А-320 Омск - Черлак - граница с Республикой Казахстан;00 ОП ФЗ А-320 (Е127, АН60, СНГ)
А-321 Барнаул - Павловск - граница с Республикой Казахстан;00 ОП ФЗ А-321
А-322 Барнаул - Рубцовск - граница с Республикой Казахстан;00 ОП ФЗ А-322 (АН64, СНГ)
"А-331 ""Вилюй"" Тулун - Братск - Усть-Кут - Мирный - Якутск";00 ОП ФЗ А-331
А-333 Култук - Монды - граница с Монголией;00 ОП ФЗ А-333 (СНГ)
А-340 Улан-Удэ - Кяхта - граница с Монголией;00 ОП ФЗ А-340 (АН3, СНГ)
А-350 Чита - Забайкальск - граница с Китайской Народной Республикой;00 ОП ФЗ А-350 (АН6, СНГ)
"А-360 ""Лена"" Невер - Якутск";00 ОП ФЗ А-360 (СНГ)
"А-361 подъездная дорога от автомобильной дороги А-360 ""Лена"" к границе с Китайской Народной Республикой";00 ОП ФЗ А-361 (СНГ)
"А-370 ""Уссури"" Хабаровск - Владивосток";00 ОП ФЗ А-370 (АН6, АН30, СНГ)
А-371 Владивосток - остров Русский;00 ОП ФЗ
А-375 Хабаровск - Красный Яр - Ариадное - Чугуевка - Находка;00 ОП ФЗ А-375
А-376 Хабаровск - Лидога - Ванино - Комсомольск-на-Амуре;00 ОП ФЗ А-376
А-384 подъездная дорога от г. Анадыря к аэропорту Анадыря (Угольный);00 ОП ФЗ А-384
А-391 Южно-Сахалинск - Корсаков;00 ОП ФЗ А-391
А-392 Южно-Сахалинск - Холмск;00 ОП ФЗ А-392
А-393 Южно-Сахалинск - Оха;00 ОП ФЗ А-393
А-401 подъездная дорога от морского порта Петропавловск-Камчатский к аэропорту Петропавловск-Камчатский (Елизово);00 ОП ФЗ А-401
